,PRBodySize,CommitSize,No_of_Files_Changed,socialDistance,No_of_Comments,timeSpentOnPR,repositoryAge,No_of_collaborators,No_of_Stars,No_of_Watchers,No_of_OpenIssues,No_of_followers_Submitter,submitterStatus,pullrequestDecision
17070,87,2,1,0,1,0,739,30,225,225,247,30,1,1
17071,103,41,8,0,0,2,267,15,23,23,4,28,1,1
17072,123,42,4,0,0,0,1563,30,115,115,4,6,1,1
17073,105,43,5,0,0,2,267,15,23,23,3,28,1,1
17074,0,12,2,0,4,0,2462,30,24530,24530,729,10,0,0
17075,0,185,3,0,0,0,99,30,269,269,10,30,1,1
17076,13,27,2,0,1,0,1827,30,33831,33831,1125,8,0,0
17077,90,31,8,0,2,1,1670,30,1977,1977,210,30,1,1
17078,778,814,19,0,15,118,533,28,139,139,207,12,1,0
17079,0,38,5,0,0,0,42,30,6893,6893,84,30,1,1
17080,61,112,1,0,0,0,2169,30,1011,1011,48,30,0,1
17081,0,168,9,0,0,0,1290,20,106,106,10,19,1,1
17082,0,1,1,0,0,0,1494,30,120,120,42,12,1,1
17083,33,16,4,0,2,0,1630,30,354,354,33,17,1,1
17084,37,1,1,0,1,0,1017,30,2311,2311,329,30,1,1
17085,54,13,2,0,1,29,1527,30,182,182,43,30,1,1
17086,251,42,2,0,13,1,1085,-1,36,36,9,30,0,1
17087,461,270,20,0,0,0,1244,30,29,29,8,30,1,1
17088,163,26,3,0,0,0,992,30,3556,3556,64,20,1,1
17089,25,4,1,0,1,18,1004,30,991,991,347,30,0,1
17090,0,4,1,0,0,0,344,7,7,7,1,1,1,1
17091,18,260,1,0,0,0,331,8,5,5,5,1,1,1
17092,86,429,17,0,0,0,275,30,21,21,11,6,1,1
17093,14,55,3,0,1,0,190,17,39,39,23,0,0,1
17094,80,29,1,0,0,0,498,16,16,16,31,0,1,1
17095,191,8,2,0,1,6,504,30,176,176,17,5,1,0
17096,53,9,1,0,7,23,1533,30,182,182,42,1,1,1
17097,680,7,1,0,2,2,1084,30,10,10,5,-1,0,1
17098,25,88,3,0,6,0,813,30,22,22,336,30,1,1
17099,104,6,1,0,3,2,857,11,110,110,5,30,1,1
17100,14,6,1,0,3,0,344,30,58,58,9,30,1,1
17101,55,3,1,0,0,0,1892,12,59,59,4,3,1,1
17102,0,67,2,0,0,0,363,7,14,14,7,30,1,1
17103,141,258,7,0,0,0,1509,30,47,47,26,27,1,1
17104,11,2,2,0,3,0,681,30,1494,1494,134,26,1,1
17105,499,21,1,0,1,0,1406,30,931,931,255,7,0,0
17106,28,3,1,0,0,0,701,30,209,209,100,0,1,1
17107,85,12,4,0,0,4,505,30,176,176,16,5,1,1
17108,502,117,8,0,1,0,1244,30,29,29,7,30,1,1
17109,0,1,1,0,0,0,1134,30,55,55,8,30,0,1
17110,0,6,2,0,1,0,1177,18,12,12,6,15,1,1
17111,524,457,55,0,11,0,916,30,661,661,283,30,1,1
17112,1320,388,18,0,6,0,508,30,168,168,15,10,1,1
17113,254,17,1,0,1,37,902,22,54,54,5,30,1,1
17114,0,12,1,0,6,0,1323,30,134,134,19,30,1,1
17115,0,6,2,0,1,0,1177,18,12,12,5,15,1,1
17116,0,699,41,0,14,18,1233,30,416,416,86,30,1,1
17117,152,9,3,0,0,0,866,30,407,407,416,30,0,1
17118,259,115,3,0,0,0,28,3,3,3,3,4,1,1
17119,107,12,1,0,0,0,1722,30,1863,1863,124,4,0,1
17120,0,8955,258,0,1,98,141,30,1782,1782,1613,30,1,0
17121,156,4427,35,0,1,107,132,30,1782,1782,1612,30,1,0
17122,114,100,4,0,1,0,64,30,7,7,4,17,1,1
17123,328,21,4,-1,3,0,1336,30,127,127,14,0,1,1
17124,193,191,4,0,1,0,630,10,28,28,61,5,1,1
17125,275,966,23,0,12,19,1789,30,198,198,249,30,1,1
17126,0,190,1,0,2,0,782,30,409,409,197,10,0,1
17127,5582,446,14,0,38,164,1316,30,6306,6306,420,30,0,0
17128,0,18,3,0,0,0,888,30,99,99,92,6,1,1
17129,327,231,3,0,0,0,36,8,13,13,1,30,1,1
17130,10,2,1,0,0,0,1308,30,398,398,6,30,1,1
17131,0,1,1,0,0,1,1025,30,29,29,19,9,1,1
17132,0,16,3,-1,4,2,1220,30,1846,1846,805,18,1,1
17133,10,2,1,0,0,0,1308,30,398,398,6,30,1,1
17134,0,16,2,0,0,0,265,21,130,130,27,-1,0,1
